Family_ID,Husband_ID,Husband_Name,Wife_ID,Wife_Name,Marriage_Date,Child_ID
F1,I432649903495,Uncle PaternalOne,I432649903828,UncleWife StepSurnameOne,,I432649903897
F2,I432649904022,StepFatherPrior StepSurnameTwo,I432649894362,Mother MaternalOne,(1/1/1999),I432649904115
F3,I432649905654,Brother PaternalOne,I432649905708,StepSister StepSurnameFour,,I432649905858
F4,I432649903249,Grandfather MaternalOne,I432649903340,Grandmother MaternalThree,,I432649894362
F5,I432649904523,Husband SpouseSurnameOne,I432649894141,Reference PaternalOne,(1/1/2020),I432649905392
F6,I432649894140,Father PaternalOne,I432649894362,Mother MaternalOne,(1/1/2001),I432649894141
F6,I432649894140,Father PaternalOne,I432649894362,Mother MaternalOne,(1/1/2001),I432649905654
F7,I432649903897,Cousin PaternalOne,I432649905471,CousinWife StepSurnameThree,,I432649905902
F8,I432649903065,GrandFather PaternalOne,I432649903172,Grandmother MaternalTwo,,I432649894140
F8,I432649903065,GrandFather PaternalOne,I432649903172,Grandmother MaternalTwo,,I432649903495
F9,I432649906034,FatherInLaw SpouseSurnameOne,,,,I432649904523
F9,I432649906034,FatherInLaw SpouseSurnameOne,,,,I432649906081
