Individual_ID,Individual_Name,Sex,Birth_Date,Birth_Place,Death_Date,Death_Place
I432649894141,Reference PaternalOne,F,(01/01/2002),"Seattle, King, Washington, USA",,
I432649894140,Father PaternalOne,M,(01/01/1960),"Vancouver, British Columbia, Canada",,
I432649894362,Mother MaternalOne,F,(01/01/1961),"Ontario, Ontario, Canada",,
I432649903065,GrandFather PaternalOne,M,(1/1/1940),"New York City, New York, USA",,
I432649903172,Grandmother MaternalTwo,F,(01/01/1941),"New Jersey, USA",,
I432649903249,Grandfather MaternalOne,M,(1/1/1940),,2020,
I432649903340,Grandmother MaternalThree,F,(1/1/1941),,,
I432649903495,Uncle PaternalOne,M,(6/1/1961),,,
I432649903828,UncleWife StepSurnameOne,F,,,,
I432649903897,Cousin PaternalOne,M,(1/1/2000),,,
I432649904022,StepFatherPrior StepSurnameTwo,M,,,,
I432649904115,HalfSister StepSurnameTwo,F,(1/1/2000),,,
I432649904523,Husband SpouseSurnameOne,M,(1/1/2001),,,
I432649905392,Son SpouseSurnameOne,M,(1/1/2021),,,
I432649905471,CousinWife StepSurnameThree,F,,,,
I432649905654,Brother PaternalOne,M,,,,
I432649905708,StepSister StepSurnameFour,F,,,,
I432649905858,Niece PaternalOne,F,,,,
I432649905902,CousinSon PaternalOne,M,,,,
I432649906034,FatherInLaw SpouseSurnameOne,M,,,,
I432649906081,SisterInLaw SpouseSurnameOne,F,,,,
